code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
2057,ZTO EXPRESS-W,HSI,2057.HK,Y,Y,BOTH,
2096,SIMCERE PHARMA,N/A,2096.HK,N,N,N/A,
2097,MIXUE GROUP,N/A,2097.HK,N,N,N/A,
2099,CHINAGOLDINTL,N/A,2099.HK,N,N,N/A,
2105,LAEKNA-B,N/A,2105.HK,N,N,N/A,
2128,CHINA LESSO,N/A,2128.HK,N,N,N/A,
2142,HBM HOLDINGS-B,N/A,2142.HK,N,N,N/A,
2145,CHICMAX,N/A,2145.HK,N,N,N/A,
2155,MORIMATSU INTL,N/A,2155.HK,N,N,N/A,
2157,LEPU BIO,N/A,2157.HK,N,N,N/A,
2158,YIDU TECH,N/A,2158.HK,N,N,N/A,
2162,KEYMED BIO-B,N/A,2162.HK,N,N,N/A,
2166,SMART-CORE,N/A,2166.HK,N,N,N/A,
2171,CARSGEN-B,N/A,2171.HK,N,N,N/A,
2172,MICROPORT NEURO,N/A,2172.HK,N,N,N/A,
2186,LUYE PHARMA,N/A,2186.HK,N,N,N/A,
2190,ZYLOXTB,N/A,2190.HK,N,N,N/A,
2192,MEDLIVE,N/A,2192.HK,N,N,N/A,
2196,FOSUN PHARMA,N/A,2196.HK,N,N,N/A,
2197,CLOVER BIO-B,N/A,2197.HK,N,N,N/A,
2198,CHINA SANJIANG,N/A,2198.HK,N,N,N/A,
2202,CHINA VANKE,HSI,2202.HK,Y,N,HSI,
2208,GOLDWIND,N/A,2208.HK,N,N,N/A,
2225,JINHAI MED TECH,N/A,2225.HK,N,N,N/A,
2228,XTALPI,N/A,2228.HK,N,N,N/A,
2232,CRYSTAL INTL,N/A,2232.HK,N,N,N/A,
2233,WESTCHINACEMENT,N/A,2233.HK,N,N,N/A,
2238,GAC GROUP,N/A,2238.HK,N,N,N/A,
2245,LYGEND RESOURCE,N/A,2245.HK,N,N,N/A,
2252,MEDBOT-B,N/A,2252.HK,N,N,N/A,
2255,HAICHANG HLDG,N/A,2255.HK,N,N,N/A,
2256,ABBISKO-B,N/A,2256.HK,N,N,N/A,
2259,ZIJIN GOLD INTL,HSI,2259.HK,Y,N,HSI,
2268,WUXI XDC,N/A,2268.HK,N,N,N/A,
2269,WUXI BIO,HSI,2269.HK,Y,N,HSI,
2273,GUSHENGTANG,N/A,2273.HK,N,N,N/A,
2276,CONANT OPTICAL,N/A,2276.HK,N,N,N/A,
2282,MGM CHINA,N/A,2282.HK,N,N,N/A,
2291,SCIENTECH,N/A,2291.HK,N,N,N/A,
2302,CNNC INT'L,N/A,2302.HK,N,N,N/A,
2313,SHENZHOU INTL,HSI,2313.HK,Y,Y,BOTH,
2315,BIOCYTOGEN-B,N/A,2315.HK,N,N,N/A,
2318,PING AN,HSI,2318.HK,Y,Y,BOTH,
2319,MENGNIU DAIRY,HSI,2319.HK,Y,Y,BOTH,
2328,PICC P&C,HSI,2328.HK,Y,Y,BOTH,
2331,LI NING,N/A,2331.HK,N,N,N/A,
2333,GWMOTOR,N/A,2333.HK,N,N,N/A,
2338,WEICHAI POWER,N/A,2338.HK,N,N,N/A,
2339,BWI INT'L,N/A,2339.HK,N,N,N/A,
2342,COMBA,N/A,2342.HK,N,N,N/A,
2343,PACIFIC BASIN,N/A,2343.HK,N,N,N/A,
2355,BAOYE GROUP,N/A,2355.HK,N,N,N/A,
2356,DAHSING BANKING,N/A,2356.HK,N,N,N/A,
2357,AVICHINA,N/A,2357.HK,N,N,N/A,
